987102691eb1d11d7f816e67c9184f189a43d289536fda30ebe4b877374393da75c29, Attempt #,Attempt Start,Attempt End,Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,Score,Out Of
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,38,UnChecked,0,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,UnChecked,0,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,40,UnChecked,0,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,41,Checked,0,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,Checked,0,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,50%,UnChecked,0,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,60%,UnChecked,0,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,True,Checked,1,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,False,UnChecked,1,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,4,MC,,How many letters are in the alphabet?,False,1,11,Checked,0,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,4,MC,,How many letters are in the alphabet?,False,1,7,UnChecked,0,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,4,MC,,How many letters are in the alphabet?,False,1,26,UnChecked,0,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,4,MC,,How many letters are in the alphabet?,False,1,11010,UnChecked,0,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Disney sues you,UnChecked,1,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Paul Bettany joins you,UnChecked,1,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,You have two ships,Checked,1,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,6,T/F,,Something can be both New and Improved,False,1,True,Checked,0,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,6,T/F,,Something can be both New and Improved,False,1,False,UnChecked,0,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 1,oscar,0,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 2,mayar,0,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,8,MC,,Is your answer to this question 'no'?,False,1,yes,Checked,1,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,8,MC,,Is your answer to this question 'no'?,False,1,no,UnChecked,1,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,s,UnChecked,0,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,c,Checked,0,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,a,UnChecked,0,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,p,UnChecked,0,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,coca cola,UnChecked,1,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,ice cream,Checked,1,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,a popsicle,UnChecked,1,1
5963136ac868277b53fb5fae688d2e15e503527c00a3f0be8682dbc419733fe3aaf9b, 1,1/13/2026 9:59 AM,1/13/2026 10:05 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,frozen yogurt,UnChecked,1,1
